iter	Logloss
0	0.6842563385
1	0.6762314316
2	0.6688707195
3	0.6625606504
4	0.6568355623
5	0.651764122
6	0.647053641
7	0.642780618
8	0.639079357
9	0.6356533834
10	0.6326305567
11	0.6298576883
12	0.6274206603
13	0.6251907774
14	0.6231896491
15	0.6213234386
16	0.6197485299
17	0.6182587899
18	0.6168884462
19	0.6156398907
20	0.6145157123
21	0.6135005467
22	0.6125559025
23	0.6117203197
24	0.6109543786
25	0.6102403295
26	0.609587413
27	0.609053325
28	0.6084739858
29	0.6079377696
30	0.6074778593
31	0.6070205644
32	0.6066576978
33	0.6062514983
34	0.6059205657
35	0.6056251757
36	0.6052715412
37	0.6049427545
38	0.6046262225
39	0.604371243
40	0.6040915763
41	0.603853297
42	0.6035963706
43	0.6034161139
44	0.6032162151
45	0.6029509603
46	0.6027678272
47	0.6025853932
48	0.6024239825
49	0.6022618693
50	0.6021244287
51	0.6019549525
52	0.6018217102
53	0.6016927623
54	0.6014781918
55	0.6013651531
56	0.6012172752
57	0.6010673105
58	0.6009504538
59	0.6008482829
60	0.6007539705
61	0.6006717596
62	0.6005047951
63	0.6003914399
64	0.6002970279
65	0.6001512676
66	0.6000387399
67	0.5999567202
68	0.5998902503
69	0.5997842852
70	0.5996753787
71	0.5996006605
72	0.599474782
73	0.5993386416
74	0.5992203723
75	0.5991228001
76	0.599054234
77	0.598990902
78	0.5989238111
79	0.5988374936
80	0.5987672958
81	0.5987242056
82	0.5986597655
83	0.5984816535
84	0.5984180188
85	0.5983710639
86	0.5983137588
87	0.5982653981
88	0.5982136286
89	0.5981588778
90	0.5980075554
91	0.5978921298
92	0.5978306432
93	0.5977597957
94	0.5975785033
95	0.5975319624
96	0.5974555114
97	0.5973776349
98	0.5973410962
99	0.5972617828
100	0.5972020056
101	0.5970829221
102	0.5970503452
103	0.5970052208
104	0.5969678617
105	0.5968724425
106	0.5968219015
107	0.5967848076
108	0.5967451482
109	0.5967213043
110	0.5966833331
111	0.5966464554
112	0.5966163787
113	0.5965640463
114	0.5965361892
115	0.5964922489
116	0.5964683006
117	0.5964046956
118	0.5963783887
119	0.5963497173
120	0.5963124321
121	0.5962849218
122	0.5962240418
123	0.5961995081
124	0.5961748712
125	0.5961559169
126	0.5961322104
127	0.5960417046
128	0.5960233358
129	0.5960031836
130	0.5958599559
131	0.5958081084
132	0.595785903
133	0.5957512422
134	0.5956679458
135	0.5956436684
136	0.5956015036
137	0.5955868547
138	0.5955687182
139	0.5955222402
140	0.5954847512
141	0.595427477
142	0.5954064411
143	0.5953885257
144	0.5952735986
145	0.5952280147
146	0.5952133814
147	0.5951966157
148	0.5951750183
149	0.5951491075
150	0.5951320822
151	0.5950957017
152	0.5950659544
153	0.5950493029
154	0.595028813
155	0.594895962
156	0.5948701434
157	0.5948576603
158	0.5948537038
159	0.5948176854
160	0.5947914556
161	0.5947669127
162	0.5946879301
163	0.5946720795
164	0.5946040527
165	0.5945881177
166	0.5945534992
167	0.5944919295
168	0.5944782588
169	0.5944583066
170	0.5943719501
171	0.5943233712
172	0.5942961794
173	0.5942826182
174	0.5942659189
175	0.5942554912
176	0.5942401465
177	0.5942272666
178	0.5942160081
179	0.5941535033
180	0.594117254
181	0.5940757073
182	0.5940255555
183	0.5939255221
184	0.5938241876
185	0.5937202522
186	0.5936727184
187	0.5936543232
188	0.5936419748
189	0.5936304841
190	0.5936110299
191	0.5935667659
192	0.5935227999
193	0.5935208437
194	0.593486209
195	0.5934530196
196	0.5934496729
197	0.5934072981
198	0.5933968848
199	0.5933866823
200	0.5933097017
201	0.593275779
202	0.5932446289
203	0.5932067224
204	0.5931921276
205	0.5931748375
206	0.5931376801
207	0.5930727849
208	0.5930455302
209	0.593033354
210	0.5929916822
211	0.5929565037
212	0.5928959578
213	0.5928841102
214	0.5928487473
215	0.5928227542
216	0.5928069311
217	0.5927910869
218	0.5927788854
219	0.5927697191
220	0.5927565589
221	0.5927469341
222	0.5927285279
223	0.5927176462
224	0.592695087
225	0.5926208555
226	0.5925907176
227	0.5925755062
228	0.5924606705
229	0.592459124
230	0.5924202049
231	0.5923536341
232	0.5923338681
233	0.5922992693
234	0.592287777
235	0.5922445347
236	0.5922299154
237	0.5922206548
238	0.5922085439
239	0.5921600227
240	0.5920640509
241	0.5920117881
242	0.5919586484
243	0.5919436271
244	0.5919086743
245	0.5918948431
246	0.5918667146
247	0.5918541458
248	0.5918315431
249	0.591822746
250	0.5917910556
251	0.5917587585
252	0.59173016
253	0.5917013397
254	0.5916870849
255	0.5916737936
256	0.5916348918
257	0.5916052944
258	0.5915511007
259	0.5915229104
260	0.5915042886
261	0.5914948291
262	0.5914749864
263	0.5914172435
264	0.5913905047
265	0.5913748687
266	0.591342041
267	0.5913269805
268	0.5913055301
269	0.5912630996
270	0.5912151937
271	0.5912022839
272	0.5911923018
273	0.5911677074
274	0.5911189838
275	0.5910798709
276	0.591036294
277	0.5910068475
278	0.5909944835
279	0.5909189331
280	0.5908832
281	0.5908616178
282	0.5908212154
283	0.5907838027
284	0.5907494979
285	0.5907383761
286	0.5907194185
287	0.5906814035
288	0.590669427
289	0.5906296534
290	0.5905458448
291	0.5904856202
292	0.5904707683
293	0.5904398859
294	0.5904275004
295	0.5903911385
296	0.5903592712
297	0.5903338932
298	0.5902841206
299	0.590242556
300	0.5901989069
301	0.5901631805
302	0.5901400435
303	0.5900449967
304	0.5900337988
305	0.5900042844
306	0.5899669797
307	0.5899556019
308	0.5899218263
309	0.5899003257
310	0.5898151234
311	0.5898003658
312	0.5897700518
313	0.5897377784
314	0.5897033613
315	0.5896810345
316	0.5896536552
317	0.5896210792
318	0.5896071497
319	0.5895590756
320	0.5895366439
321	0.5894519085
322	0.5894330258
323	0.5894012563
324	0.5893240713
325	0.5893033623
326	0.5892313516
327	0.5892004554
328	0.58917649
329	0.5891557466
330	0.5890796401
331	0.5890098254
332	0.5889810257
333	0.5889479326
334	0.5889205169
335	0.5888792375
336	0.588864706
337	0.5888389173
338	0.5888251723
339	0.5888027513
340	0.588784207
341	0.5887573407
342	0.5887494117
343	0.5887302566
344	0.5887025805
345	0.5886772435
346	0.5886622974
347	0.5886511536
348	0.5886388468
349	0.5885731195
350	0.5885564528
351	0.5884914205
352	0.5884330137
353	0.5884027214
354	0.5883876861
355	0.5883678955
356	0.5883510505
357	0.5883386925
358	0.5882866872
359	0.588223966
360	0.5882133185
361	0.588187062
362	0.5881719661
363	0.5881599769
364	0.5881507773
365	0.5880929704
366	0.5880697697
367	0.5880478914
368	0.5880345102
369	0.5879951675
370	0.587971094
371	0.5879585981
372	0.5879375605
373	0.5879095778
374	0.587898553
375	0.5878755525
376	0.5878489506
377	0.5878411757
378	0.5877774372
379	0.5877512446
380	0.5877320285
381	0.5877122699
382	0.587686244
383	0.5876755529
384	0.5876568434
385	0.5876359732
386	0.5876145481
387	0.5875780253
388	0.5875560768
389	0.5875343193
390	0.587515007
391	0.5874882511
392	0.5874742
393	0.5874569642
394	0.5874450602
395	0.5874158597
396	0.58740438
397	0.5873859406
398	0.5873690014
399	0.5873478043
400	0.5873304068
401	0.5872814944
402	0.5872737068
403	0.587259428
404	0.5872277124
405	0.5871780959
406	0.5871661495
407	0.5871555378
408	0.5871414739
409	0.5871086364
410	0.5870925607
411	0.5870796899
412	0.5870664747
413	0.587045094
414	0.587021957
415	0.587009217
416	0.5869944295
417	0.5869777851
418	0.5869680393
419	0.5869445297
420	0.586928813
421	0.5869155981
422	0.586895698
423	0.5868816776
424	0.5868620751
425	0.5868433558
426	0.5868132477
427	0.586792013
428	0.5867668271
429	0.5867544203
430	0.5867087192
431	0.5866793765
432	0.5866675291
433	0.5866560144
434	0.5866252442
435	0.5865768274
436	0.586559458
437	0.5865458307
438	0.5865325474
439	0.5865122104
440	0.5864988802
441	0.5864736071
442	0.5864626021
443	0.5864264067
444	0.5864161279
445	0.5864098954
446	0.5863881254
447	0.5863755581
448	0.5863558176
449	0.5863343767
450	0.5863230289
451	0.5863157842
452	0.5862926476
453	0.5862828429
454	0.5862600938
455	0.5862379153
456	0.5862283678
457	0.586213552
458	0.5861841308
459	0.586177461
460	0.5861584419
461	0.5861483819
462	0.586117282
463	0.5861076941
464	0.5860891174
465	0.5860801394
466	0.5860720324
467	0.5860615628
468	0.5860488916
469	0.5860368464
470	0.5860259496
471	0.586013067
472	0.5860026792
473	0.5859874259
474	0.5859672044
475	0.5859483041
476	0.5859315641
477	0.5859200319
478	0.5859124956
479	0.5859009158
480	0.5858897815
481	0.5858801257
482	0.5858689736
483	0.5858601026
484	0.5858471296
485	0.5858310938
486	0.5858172914
487	0.5858064447
488	0.5857950708
489	0.5857849917
490	0.5857664466
491	0.5857550082
492	0.5857398249
493	0.5857130564
494	0.5856991466
495	0.5856897045
496	0.5856818508
497	0.5856704059
498	0.5856591901
499	0.5856483283
500	0.5856373868
501	0.5856251871
502	0.5856147572
503	0.5855783365
504	0.5855471342
505	0.5855389157
506	0.5855270424
507	0.5855178828
508	0.585509965
509	0.5854988944
510	0.5854867892
511	0.5854805503
512	0.5854546627
513	0.5854446457
514	0.5854336667
515	0.5854237194
516	0.5854085639
517	0.5853936151
518	0.5853736228
519	0.5853619997
520	0.5853551832
521	0.5853471718
522	0.585337597
523	0.5853284383
524	0.5853167123
525	0.5853056872
526	0.585297829
527	0.5852818308
528	0.5852729782
529	0.5852638753
530	0.5852467534
531	0.5852184287
532	0.585209615
533	0.5852035544
534	0.5851916769
535	0.5851820712
536	0.5851713052
537	0.585152006
538	0.58514277
539	0.5851346743
540	0.5851276204
541	0.5851173747
542	0.5851057058
543	0.5850976199
544	0.5850892798
545	0.5850437731
546	0.585026311
547	0.5850149267
548	0.5850041788
549	0.584993916
550	0.5849800189
551	0.5849700122
552	0.5849368935
553	0.5849280901
554	0.584888518
555	0.5848759761
556	0.5848577045
557	0.5848487626
558	0.5848388138
559	0.5848302501
560	0.5848217036
561	0.5848107127
562	0.584804634
563	0.5847902528
564	0.5847780177
565	0.5847674635
566	0.5847535659
567	0.5847409294
568	0.5847301294
569	0.5847223301
570	0.5847119365
571	0.5846944594
572	0.5846840395
573	0.5846648285
574	0.5846537669
575	0.5846451482
576	0.5846345371
577	0.5846255191
578	0.5846169085
579	0.5846001939
580	0.5845891423
581	0.5845801847
582	0.5845667029
583	0.5845524873
584	0.5845437337
585	0.5845216022
586	0.5845115416
587	0.5845001777
588	0.5844901069
589	0.5844627032
590	0.584448066
591	0.584437277
592	0.5844130144
593	0.5843917335
594	0.5843820676
595	0.5843676566
596	0.5843618936
597	0.5843520451
598	0.5843401399
599	0.5843304258
600	0.584321717
601	0.5842807832
602	0.584269814
603	0.5842634776
604	0.584241316
605	0.5842325105
606	0.5842243539
607	0.5842152379
608	0.5842055833
609	0.5841941749
610	0.5841831167
611	0.584161374
612	0.5841526466
613	0.584133894
614	0.5841115925
615	0.5841043742
616	0.5840944947
617	0.5840818918
618	0.5840719063
619	0.5840549054
620	0.58404498
621	0.5840355806
622	0.5840227577
623	0.5839859041
624	0.5839781164
625	0.583968605
626	0.5839580281
627	0.5839486328
628	0.5839359539
629	0.5839281577
630	0.5839171007
631	0.5838981155
632	0.5838924345
633	0.5838829989
634	0.5838511755
635	0.5838402171
636	0.5838328618
637	0.5838216502
638	0.5838079379
639	0.5837913582
640	0.5837747057
641	0.5837690648
642	0.5837604024
643	0.5837526034
644	0.5837438694
645	0.5837202164
646	0.5837109376
647	0.5836739982
648	0.583663965
649	0.5836553664
650	0.5836480996
651	0.5836383782
652	0.5836289572
653	0.5836209604
654	0.5836132913
655	0.5836043602
656	0.5835950069
657	0.5835757495
658	0.5835695663
659	0.5835594667
660	0.5835474709
661	0.5835344311
662	0.5835292296
663	0.5835198525
664	0.5835094092
665	0.5835017695
666	0.5834878692
667	0.5834803453
668	0.583472403
669	0.5834575677
670	0.5834484693
671	0.5834367022
672	0.5834103149
673	0.5834014171
674	0.583392743
675	0.5833542045
676	0.5833330587
677	0.5833242288
678	0.5833151562
679	0.5832868997
680	0.5832740299
681	0.5832644835
682	0.5832537615
683	0.5832431544
684	0.5832252015
685	0.5832191295
686	0.5832090279
687	0.5831937685
688	0.5831847503
689	0.5831744607
690	0.5831626202
691	0.5831529381
692	0.5831415642
693	0.5831194907
694	0.5831099018
695	0.5830955041
696	0.5830881665
697	0.583066005
698	0.5830565314
699	0.5830375248
700	0.5830267786
701	0.583010347
702	0.58300747
703	0.5829965035
704	0.5829829701
705	0.5829677022
706	0.5829568771
707	0.5829399978
708	0.5829119794
709	0.5829024181
710	0.5828816247
711	0.5828721663
712	0.5828623399
713	0.5828468265
714	0.5828329353
715	0.5828092843
716	0.5828018295
717	0.5827920782
718	0.5827794844
719	0.5827570239
720	0.5827446047
721	0.5827367867
722	0.5827257767
723	0.5827063536
724	0.582690131
725	0.5826796259
726	0.5826587039
727	0.5826484778
728	0.5826415956
729	0.5826311547
730	0.58262264
731	0.5826159243
732	0.5826048021
733	0.5825807897
734	0.5825693601
735	0.5825630643
736	0.5825474139
737	0.5825292754
738	0.5825165142
739	0.5825100934
740	0.5824905188
741	0.5824828361
742	0.5824656616
743	0.5824572864
744	0.5824469518
745	0.5824383287
746	0.5824292231
747	0.5824218408
748	0.58241244
749	0.5823935272
750	0.5823823074
751	0.5823719298
752	0.5823670899
