iter	Passed	Remaining
0	561	561007
1	1048	523163
2	1534	510082
3	1936	482232
4	2334	464489
5	2714	449762
6	3086	437906
7	3500	434084
8	3917	431337
9	4344	430077
10	4729	425231
11	5141	423277
12	5549	421323
13	5943	418615
14	6372	418443
15	6788	417518
16	7220	417510
17	7624	415947
18	8036	414949
19	8453	414209
20	8855	412843
21	9265	411897
22	9636	409326
23	10050	408700
24	10475	408544
25	10847	406370
26	11282	406593
27	11660	404801
28	12035	402982
29	12462	402947
30	12841	401391
31	13235	400362
32	13680	400868
33	14097	400535
34	14509	400034
35	14910	399269
36	15370	400057
37	15750	398747
38	16162	398259
39	16533	396801
40	16892	395110
41	17322	395124
42	17721	394395
43	18112	393529
44	18501	392639
45	18884	391647
46	19267	390669
47	19660	389926
48	20055	389233
49	20519	389874
50	20930	389474
51	21383	389830
52	21778	389145
53	22215	389183
54	22601	388330
55	22992	387593
56	23396	387072
57	23819	386867
58	24245	386694
59	24600	385415
60	25018	385128
61	25432	384771
62	25825	384105
63	26228	383588
64	26612	382815
65	26988	381929
66	27430	381986
67	27889	382244
68	28301	381859
69	28689	381160
70	29188	381912
71	29669	382409
72	30057	381693
73	30503	381705
74	30931	381494
75	31375	381461
76	31819	381416
77	32313	381958
78	32777	382122
79	33241	382274
80	33690	382244
81	34130	382093
82	34540	381614
83	34927	380880
84	35359	380630
85	35747	379925
86	36172	379602
87	36556	378861
88	36963	378356
89	37409	378253
90	37811	377695
91	38220	377216
92	38617	376621
93	39025	376141
94	39449	375811
95	39816	374937
96	40252	374717
97	40649	374144
98	41049	373591
99	41486	373378
100	41892	372882
101	42303	372436
102	42707	371924
103	43158	371825
104	43584	371504
105	44017	371245
106	44385	370436
107	44796	369981
108	45262	369989
109	45712	369858
110	46136	369509
111	46568	369218
112	46996	368900
113	47400	368397
114	47800	367854
115	48228	367532
116	48657	367216
117	49075	366819
118	49499	366463
119	49925	366116
120	50363	365864
121	50789	365521
122	51245	365382
123	51709	365302
124	52224	365573
125	52652	365223
126	53102	365025
127	53502	364488
128	53957	364316
129	54397	364047
130	54798	363509
131	55192	362931
132	55603	362468
133	56061	362309
134	56440	361635
135	56837	361088
136	57249	360630
137	57648	360094
138	58055	359607
139	58419	358863
140	58846	358503
141	59272	358138
142	59685	357693
143	60072	357098
144	60473	356583
145	60918	356328
146	61344	355967
147	61804	355792
148	62213	355329
149	62677	355175
150	63100	354783
151	63514	354344
152	63938	353960
153	64320	353344
154	64571	352017
155	64947	351385
156	65362	350961
157	65835	350843
158	66026	349234
159	66440	348814
160	66735	347771
161	67078	346987
162	67460	346406
163	67876	346006
164	68265	345465
165	68742	345369
166	69179	345067
167	69589	344633
168	69972	344065
169	70388	343662
170	70817	343322
171	71177	342643
172	71539	341984
173	71923	341430
174	72313	340905
175	72726	340491
176	73139	340078
177	73576	339774
178	73984	339334
179	74367	338786
180	74774	338346
181	75170	337854
182	75574	337399
183	75991	337005
184	76401	336577
185	76846	336304
186	77253	335866
187	77673	335485
188	78113	335185
189	78542	334839
190	78940	334360
191	79382	334067
192	79669	333125
193	79812	331591
194	80214	331141
195	80640	330789
196	80870	329639
197	81289	329262
198	81683	328784
199	82082	328329
200	82459	327787
201	82900	327496
202	83291	327012
203	83741	326756
204	84154	326353
205	84363	325169
206	84752	324681
207	85139	324183
208	85525	323688
209	85921	323226
210	86270	322594
211	86671	322156
212	87102	321830
213	87499	321376
214	87862	320799
215	88254	320330
216	88636	319827
217	89031	319370
218	89420	318893
219	89845	318542
220	90254	318137
221	90634	317628
222	91095	317405
223	91484	316927
224	91899	316541
225	92313	316153
226	92714	315720
227	93104	315247
228	93486	314751
229	93635	313475
230	94041	313066
231	94442	312637
232	94822	312139
233	95213	311680
234	95620	311273
235	96036	310896
236	96454	310528
237	96879	310175
238	97282	309756
239	97706	309404
240	98109	308984
241	98531	308624
242	98978	308340
243	99408	308003
244	99826	307629
245	100236	307229
246	100549	306534
247	100948	306102
248	101338	305643
249	101721	305163
250	102119	304731
251	102474	304170
252	102869	303729
253	103242	303223
254	103631	302766
255	104090	302514
256	104495	302101
257	104883	301642
258	105243	301101
259	105679	300778
260	106076	300347
261	106509	300015
262	106960	299733
263	107385	299379
264	107796	298982
265	108191	298544
266	108596	298130
267	108984	297673
268	109359	297182
269	109758	296754
270	110146	296297
271	110489	295721
272	110908	295350
273	111338	295005
274	111749	294611
275	112110	294087
276	112527	293709
277	112941	293323
278	113328	292865
279	113716	292413
280	114096	291940
281	114503	291537
282	114858	291002
283	115230	290510
284	115611	290043
285	115982	289550
286	116388	289145
287	116779	288704
288	117184	288298
289	117573	287851
290	117971	287429
291	118362	286988
292	118772	286594
293	119171	286174
294	119599	285823
295	120027	285469
296	120382	284945
297	120772	284503
298	121186	284120
299	121562	283644
300	121957	283217
301	122326	282729
302	122711	282276
303	123086	281802
304	123489	281394
305	123863	280919
306	124268	280515
307	124684	280134
308	125057	279658
309	125476	279286
310	125876	278870
311	126270	278442
312	126669	278024
313	127048	277564
314	127448	277150
315	127876	276796
316	128252	276330
317	128662	275936
318	129081	275562
319	129478	275142
320	129892	274756
321	130252	274258
322	130645	273829
323	131045	273416
324	131401	272910
325	131803	272502
326	132196	272073
327	132558	271583
328	132985	271226
329	133370	270782
330	133765	270360
331	134166	269949
332	134542	269488
333	134923	269039
334	135288	268557
335	135718	268205
336	136134	267825
337	136507	267360
338	136972	267075
339	137382	266683
340	137855	266412
341	138223	265938
342	138611	265503
343	138989	265049
344	139375	264611
345	139758	264167
346	140148	263737
347	140585	263396
348	141032	263071
349	141410	262620
350	141828	262240
351	142232	261837
352	142649	261456
353	143027	261004
354	143436	260609
355	143850	260224
356	144292	259888
357	144726	259537
358	145107	259092
359	145522	258706
360	145935	258317
361	146342	257918
362	146757	257534
363	147169	257141
364	147576	256743
365	148001	256373
366	148350	255875
367	148766	255490
368	149165	255077
369	149558	254653
370	149923	254182
371	150329	253781
372	150714	253346
373	151131	252963
374	151521	252536
375	151908	252104
376	152288	251659
377	152700	251269
378	153060	250793
379	153423	250322
380	153812	249894
381	154226	249507
382	154638	249117
383	155076	248768
384	155444	248306
385	155907	247997
386	156294	247567
387	156699	247164
388	157105	246765
389	157513	246368
390	157917	245963
391	158303	245532
392	158709	245131
393	159069	244660
394	159521	244329
395	159906	243898
396	160275	243440
397	160674	243030
398	161047	242579
399	161429	242143
400	161851	241768
401	162237	241337
402	162631	240920
403	163057	240550
404	163456	240139
405	163872	239754
406	164281	239358
407	164723	239009
408	165096	238562
409	165480	238130
410	165920	237778
411	166333	237388
412	166756	237011
413	167147	236590
414	167564	236205
415	167991	235834
416	168384	235415
417	168781	235002
418	169167	234574
419	169536	234121
420	169926	233699
421	170293	233245
422	170687	232828
423	171021	232331
424	171404	231900
425	171778	231457
426	172180	231052
427	172584	230650
428	172948	230194
429	173357	229799
430	173778	229420
431	174143	228966
432	174581	228608
433	174985	228207
434	175363	227771
435	175803	227415
436	176164	226957
437	176545	226526
438	176970	226151
439	177360	225731
440	177789	225361
441	178163	224921
442	178540	224485
443	178937	224074
444	179350	223684
445	179794	223332
446	180168	222892
447	180554	222468
448	180921	222021
449	181332	221629
450	181747	221240
451	182140	220825
452	182499	220369
453	182907	219972
454	183292	219547
455	183683	219130
456	184080	218721
457	184459	218290
458	184862	217888
459	185255	217473
460	185679	217096
461	186045	216650
462	186445	216244
463	186870	215868
464	187243	215430
465	187685	215073
466	188078	214658
467	188462	214234
468	188836	213800
469	189250	213410
470	189744	213109
471	190133	212691
472	190547	212301
473	190939	211885
474	191312	211451
475	191748	211084
476	192129	210657
477	192531	210253
478	192920	209835
479	193324	209435
480	193723	209028
481	194127	208627
482	194543	208238
483	194935	207824
484	195318	207399
485	195705	206981
486	196116	206586
487	196535	206200
488	196914	205773
489	197373	205429
490	197773	205024
491	198244	204691
492	198667	204308
493	199078	203914
494	199487	203517
495	199879	203103
496	200292	202710
497	200681	202293
498	201100	201906
499	201460	201460
500	201867	201061
501	202255	200643
502	202682	200264
503	203049	199826
504	203458	199429
505	203855	199020
506	204260	198620
507	204716	198269
508	205160	197905
509	205561	197499
510	205938	197072
511	206316	196645
512	206697	196221
513	207075	195794
514	207561	195470
515	207976	195078
516	208306	194607
517	208754	194246
518	209160	193846
519	209584	193462
520	209987	193059
521	210386	192652
522	210789	192250
523	211175	191831
524	211573	191423
525	212002	191043
526	212377	190615
527	212735	190172
528	213164	189793
529	213566	189389
530	213954	188972
531	214361	188573
532	214775	188180
533	215158	187760
534	215543	187341
535	215943	186935
536	216357	186542
537	216766	186145
538	217165	185738
539	217556	185325
540	217933	184900
541	218303	184470
542	218730	184088
543	219122	183676
544	219527	183275
545	219910	182855
546	220306	182447
547	220709	182045
548	221076	181612
549	221497	181225
550	221800	180741
551	222210	180344
552	222636	179961
553	223036	179556
554	223408	179129
555	223826	178739
556	224226	178334
557	224652	177950
558	225046	177540
559	225480	177163
560	225915	176785
561	226310	176377
562	226743	175997
563	227156	175602
564	227578	175215
565	227967	174802
566	228402	174423
567	228842	174049
568	229237	173640
569	229649	173244
570	230062	172849
571	230477	172455
572	230860	172037
573	231260	171632
574	231688	171248
575	232075	170833
576	232480	170431
577	232895	170038
578	233277	169619
579	233668	169208
580	234059	168797
581	234451	168385
582	234892	168010
583	235280	167597
584	235692	167200
585	236089	166793
586	236469	166374
587	236943	166021
588	237420	165670
589	237830	165272
590	238219	164859
591	238651	164476
592	239048	164068
593	239533	163721
594	239959	163333
595	240369	162935
596	240785	162540
597	241187	162136
598	241599	161738
599	242016	161344
600	242400	160928
601	242800	160522
602	243188	160109
603	243635	159734
604	244065	159348
605	244452	158934
606	244825	158511
607	245237	158113
608	245648	157715
609	246010	157285
610	246415	156882
611	246788	156460
612	247179	156049
613	247562	155633
614	247947	155219
615	248332	154804
616	248756	154414
617	249122	153988
618	249522	153583
619	249903	153166
620	250282	152748
621	250686	152346
622	251042	151914
623	251401	151485
624	251801	151081
625	252162	150653
626	252569	150252
627	252953	149838
628	253325	149417
629	253756	149031
630	254158	148628
631	254604	148250
632	255016	147853
633	255438	147461
634	255863	147071
635	256256	146662
636	256645	146251
637	257040	145844
638	257457	145449
639	257869	145051
640	258230	144625
641	258642	144227
642	259075	143841
643	259478	143438
644	259893	143042
645	260303	142643
646	260704	142239
647	261117	141841
648	261522	141439
649	261986	141069
650	262384	140664
651	262807	140271
652	263202	139864
653	263572	139443
654	263960	139032
655	264368	138632
656	264749	138218
657	265149	137813
658	265547	137407
659	265934	136996
660	266362	136606
661	266768	136205
662	267161	135797
663	267561	135392
664	267932	134973
665	268338	134572
666	268750	134173
667	269154	133771
668	269576	133377
669	269984	132977
670	270397	132579
671	270771	132162
672	271140	131742
673	271574	131354
674	271981	130954
675	272351	130535
676	272740	130125
677	273136	129719
678	273549	129321
679	273921	128904
680	274277	128479
681	274720	128095
682	275100	127682
683	275527	127290
684	275907	126877
685	276296	126468
686	276693	126062
687	277083	125654
688	277483	125249
689	277877	124843
690	278279	124440
691	278688	124040
692	279092	123638
693	279467	123223
694	279867	122819
695	280263	122414
696	280716	122033
697	281130	121635
698	281532	121231
699	281962	120840
700	282423	120463
701	282882	120084
702	283316	119694
703	283707	119286
704	284077	118869
705	284496	118473
706	285002	118112
707	285524	117758
708	285996	117383
709	286436	116995
710	286869	116603
711	287317	116218
712	287845	115865
713	288227	115452
714	288704	115078
715	289181	114703
716	289685	114338
717	290126	113949
